ID,Priorité,Phase,Catégorie,Question,Contexte / détail,Réponse Pierre,Statut,Notes
4.3,Stratégique,Phase 4,WhatsApp vendor,Brevo WhatsApp vs Twilio vs Meta directe,"Brevo (même vendor que Mail, single dashboard, ~0,03 €/msg) vs Twilio (~0,005 €/msg, dashboard séparé) vs Meta Cloud API (gratuit, technique). Recommandation : Brevo par défaut.",,Ouvert,
4.4,À clarifier,Phase 4,Templates,Textes templates WhatsApp à approuver,"2 templates à soumettre à Meta. Compte-rendu : 'Bonjour {{1}}, votre passage du {{2}} est terminé. CR : {{3}}. — Pierre, Dlo Azur'. Rappel J-1 : 'Bonjour {{1}}, rappel : passage prévu demain {{2}}. À demain ! — Pierre'. Texte exact à valider.",,Ouvert,
4.5,À clarifier,Phase 4,Rappel,Heure d'envoi rappel J-1,"Recommandation : 18 h locale (UTC-4 Martinique) la veille. Autres options : 8 h le matin de la veille.",,Ouvert,
4.6,À clarifier,Phase 4,Rappel,Pierre destinataire du rappel J-1 aussi ?,"NOTIF-02 dit 'le pro et le client'. Pierre reçoit-il un récap digest de sa journée du lendemain avec liste passages + adresses ?",,Ouvert,
4.7,Importante,Phase 4,Compte-rendu,Livraison CR : PJ PDF vs lien portail,"PJ PDF (autonome, persiste mail) vs lien magique portail (révocable, tracking, RGPD). Recommandation : les deux (lien tracké + PDF joint rassurant).",,Ouvert,
4.8,À clarifier,Phase 4,Opt-out,Mécanisme désinscription notifs,"RGPD : CR = transactionnel exempt opt-in, mais lien désinscription recommandé. Toggle dans fiche client côté admin ? WhatsApp : Meta exige opt-out STOP automatisé.",,Ouvert,
5.1,Importante,Phase 5,Légal,Texte exact disclaimer dosage,"DIAG-03 : disclaimer obligatoire avant tout conseil de dosage. Validation idéale par avocat ou modèle issu d'un site équivalent. Affichage modale d'entrée + checkbox d'acceptation explicite.",,Ouvert,
5.2,Stratégique,Phase 5,Stripe A,Abonnement particulier — prix + inclusions,"Prix mensuel (ex : 4,90 €/mois suivi illimité) ? Combien de diagnostics inclus ? Historique conservé combien de temps ? Période d'essai (7j gratuits) ?",,Ouvert,
5.3,Stratégique,Phase 5,Stripe B,Upsell premium client — prix + inclusions,"Prix one-shot ? Différenciateur vs gratuit (doses précises, calendrier perso, photos avant/après) ?",,Ouvert,
5.4,Importante,Phase 5,Diagnostic,Arbre de décision : où est la logique ?,"Issue de la maquette React jetée. Archivée dans docs/superpowers/specs/2026-05-27-dloazur-refonte-design.md ? À vérifier. Sinon : description orale de Pierre → JSON dans config/diagnostic.php.",,Ouvert,
5.5,Importante,Phase 5,Diagnostic,Formules calcul de doses,"Formules par produit en tête de Pierre ou écrites quelque part ? Validation chimique (Pierre seul / consultant / fournisseur pro) ? Produits référencés en générique (g/m³) ou nominatif (sachets HTH) ?",,Ouvert,
6.1,Urgente cutover,Transverse,Identité légale,SIRET / RCS / APE / adresse pro,"Statut EI confirmé. À fournir : SIRET, RCS ou RM (artisan ?) + ville d'immatriculation, adresse pro déclarée URSSAF, code APE (probablement 81.29B autres activités de nettoyage).",,Ouvert,
6.2,À clarifier,Transverse,Branding,Logo SVG vectoriel,"Source vectorielle existe ? (Hors raster JPG/PNG des supports print.) Charte couleurs déjà validée — azure #0080ff + marine + turquoise — pas de changement prévu.",,Ouvert,
6.3,Importante,Transverse,Légal,Politique confidentialité — rédacteur,"Pages stub à rédiger : RGPD, droits utilisateur, cookies. Rédacteur : Pierre seul / avec assistance / modèle CNIL ?",,Ouvert,
6.4,Importante,Transverse,Légal,CGV diagnostic à rédiger,"Spécifique Phase 5 (vente prestations en ligne via Stripe — obligation légale).",,Ouvert,
6.5,À clarifier,Transverse,RGPD,DPA fournisseurs signés,"Brevo (dashboard Settings > Privacy), Cloudflare R2 (téléchargeable site CF), Laravel Cloud (demander à support@laravel.cloud), Stripe (Settings > Compliance). Google Places : Terms standard pas de DPA séparé.",,Ouvert,
6.6,À clarifier,Transverse,DNS,Hostinger DNS ou migrer Cloudflare ?,"Aujourd'hui DNS chez Hostinger (hérité Zyro). Hostinger : zéro friction, panel basique. Cloudflare DNS gratuit : meilleur panel, anycast rapide. Recommandation : rester Hostinger Phase 1, évaluer plus tard.",,Ouvert,
7.1,Stratégique,Roadmap,Ordre,Paralléliser Phase 4 avec Phase 2-3 ?,"Lead time approbation Meta (1-5j) justifierait de lancer création compte Meta Business + soumission templates pendant Phase 2 si Pierre veut WhatsApp. À acter quand on aborde Phase 2.",,Ouvert,
7.2,Stratégique,Roadmap,Blog,Premiers articles : sujets + rédaction,"D-10/D-11 : markdown-in-repo, ~3-6 articles/an. Pierre rédige seul ou avec assistance ? Liste sujets initiaux (eau verte, chlore vs sel, hivernage Martinique, etc.).",,Ouvert,
7.3,Stratégique,Roadmap,Saisonnalité,Pics activité Martinique,"Climat tropical pas de morte-saison. Pic algues (saison humide juillet-octobre) → marketing 'eau verte d'urgence' (D-34). Tourisme hospitalité B2B pic décembre-avril → CTA conciergeries à booster.",,Ouvert,
